iter	Passed	Remaining
0	167	167464
1	170	84947
2	174	58141
3	177	44316
4	180	35883
5	183	30426
6	186	26417
7	189	23514
8	192	21142
9	193	19171
10	195	17550
11	197	16234
12	198	15089
13	200	14090
14	201	13248
15	202	12482
16	204	11840
17	205	11233
18	206	10686
19	208	10198
20	209	9753
21	210	9342
22	211	8967
23	212	8649
24	213	8329
25	214	8028
26	215	7759
27	216	7506
28	216	7262
29	217	7037
30	218	6831
31	219	6638
32	220	6451
33	220	6276
34	221	6108
35	222	5949
36	222	5798
37	223	5654
38	223	5517
39	224	5387
40	225	5264
41	225	5144
42	226	5040
43	227	4934
44	227	4831
45	228	4731
46	228	4635
47	229	4543
48	229	4454
49	229	4369
50	230	4288
51	230	4210
52	231	4134
53	231	4061
54	232	3991
55	232	3923
56	233	3857
57	233	3792
58	234	3739
59	234	3680
60	235	3624
61	235	3569
62	236	3516
63	236	3463
64	237	3412
65	237	3364
66	238	3316
67	238	3269
68	239	3225
69	239	3182
70	239	3139
71	240	3098
72	240	3057
73	241	3019
74	242	2986
75	242	2949
76	243	2914
77	243	2879
78	244	2845
79	244	2812
80	244	2779
81	245	2747
82	245	2714
83	246	2683
84	246	2653
85	246	2624
86	247	2596
87	247	2569
88	248	2542
89	248	2515
90	249	2495
91	250	2469
92	250	2445
93	251	2421
94	251	2397
95	252	2373
96	252	2351
97	253	2328
98	253	2307
99	254	2286
100	254	2265
101	254	2244
102	255	2224
103	255	2204
104	256	2184
105	256	2165
106	257	2148
107	257	2129
108	258	2111
109	258	2093
110	259	2076
111	259	2058
112	260	2041
113	260	2024
114	261	2008
115	261	1992
116	261	1975
117	262	1959
118	262	1944
119	263	1929
120	263	1913
121	263	1898
122	264	1884
123	264	1871
124	265	1857
125	265	1844
126	266	1830
127	266	1817
128	267	1804
129	267	1790
130	267	1777
131	268	1765
132	268	1753
133	269	1740
134	269	1728
135	270	1716
136	270	1705
137	271	1693
138	271	1682
139	272	1671
140	272	1661
141	273	1650
142	273	1639
143	274	1628
144	274	1618
145	274	1608
146	275	1597
147	275	1587
148	276	1577
149	276	1567
150	277	1557
151	277	1547
152	277	1538
153	278	1528
154	278	1519
155	279	1509
156	279	1500
157	280	1492
158	280	1484
159	280	1475
160	281	1465
161	281	1457
162	282	1448
163	282	1440
164	282	1431
165	283	1424
166	283	1416
167	284	1407
168	284	1400
169	285	1392
170	285	1384
171	285	1376
172	286	1369
173	286	1361
174	287	1355
175	288	1348
176	288	1341
177	288	1333
178	289	1327
179	289	1320
180	290	1313
181	290	1307
182	291	1300
183	291	1294
184	292	1287
185	292	1281
186	293	1275
187	293	1269
188	294	1263
189	295	1257
190	296	1253
191	296	1247
192	296	1241
193	297	1235
194	297	1229
195	298	1223
196	298	1217
197	299	1211
198	299	1205
199	299	1199
200	300	1194
201	300	1188
202	301	1183
203	301	1178
204	302	1172
205	303	1169
206	304	1164
207	304	1159
208	305	1154
209	305	1149
210	305	1144
211	306	1138
212	306	1133
213	307	1128
214	307	1123
215	308	1118
216	308	1113
217	309	1108
218	309	1103
219	309	1098
220	310	1093
221	311	1091
222	311	1086
223	312	1082
224	313	1078
225	313	1074
226	314	1069
227	314	1065
228	314	1060
229	315	1055
230	315	1051
231	316	1046
232	316	1042
233	317	1038
234	317	1034
235	318	1032
236	319	1028
237	319	1024
238	320	1019
239	320	1015
240	321	1011
241	321	1006
242	321	1002
243	322	998
244	322	994
245	323	990
246	323	986
247	324	982
248	324	978
249	324	974
250	325	970
251	325	966
252	326	963
253	326	959
254	327	955
255	327	952
256	342	991
257	343	987
258	343	984
259	344	980
260	344	976
261	345	972
262	345	968
263	346	965
264	346	961
265	347	957
266	347	954
267	348	950
268	348	947
269	348	943
270	349	939
271	349	936
272	350	934
273	351	931
274	351	927
275	352	924
276	352	921
277	353	917
278	353	914
279	354	910
280	354	907
281	355	904
282	355	900
283	355	897
284	356	894
285	356	890
286	357	887
287	357	884
288	358	881
289	358	878
290	359	874
291	359	871
292	359	868
293	360	865
294	360	862
295	361	859
296	361	856
297	362	853
298	362	850
299	363	847
300	363	844
301	363	841
302	364	838
303	365	835
304	365	833
305	366	831
306	367	828
307	367	826
308	368	823
309	368	820
310	368	817
311	369	814
312	369	811
313	370	808
314	370	805
315	371	803
316	371	800
317	371	797
318	372	794
319	372	791
320	373	789
321	373	787
322	374	784
323	374	782
324	375	779
325	375	777
326	376	774
327	376	772
328	377	769
329	377	766
330	378	764
331	378	761
332	378	759
333	379	756
334	380	754
335	380	751
336	381	750
337	381	748
338	382	745
339	382	743
340	383	740
341	383	738
342	384	735
343	384	733
344	384	730
345	385	728
346	385	726
347	386	723
348	386	721
349	387	718
350	387	716
351	387	713
352	388	711
353	388	709
354	389	707
355	389	705
356	390	702
357	390	700
358	391	698
359	391	696
360	392	694
361	392	691
362	393	689
363	393	687
364	394	685
365	394	683
366	395	681
367	395	679
368	396	677
369	397	676
370	397	674
371	398	672
372	398	670
373	399	667
374	399	665
375	399	663
376	400	661
377	400	659
378	401	657
379	401	655
380	402	653
381	402	651
382	403	649
383	403	647
384	404	646
385	405	644
386	405	642
387	406	640
388	406	638
389	407	636
390	407	634
391	407	632
392	408	630
393	408	628
394	409	626
395	409	624
396	410	623
397	410	621
398	411	619
399	411	617
400	412	615
401	412	614
402	413	612
403	413	610
404	414	608
405	414	606
406	415	604
407	415	602
408	415	601
409	416	599
410	416	597
411	417	595
412	417	593
413	418	591
414	418	589
415	418	588
416	419	586
417	420	585
418	420	583
419	421	581
420	421	579
421	422	578
422	422	576
423	422	574
424	423	572
425	423	570
426	424	569
427	424	567
428	425	565
429	425	563
430	425	562
431	426	560
432	426	558
433	427	557
434	427	555
435	428	554
436	428	552
437	429	550
438	429	549
439	430	547
440	430	545
441	431	544
442	431	542
443	431	540
444	432	539
445	432	537
446	433	535
447	433	534
448	433	532
449	434	530
450	435	529
451	435	528
452	436	526
453	436	525
454	437	523
455	437	522
456	438	520
457	438	518
458	438	517
459	439	515
460	439	514
461	440	512
462	440	511
463	441	509
464	441	507
465	441	506
466	442	504
467	443	503
468	443	502
469	444	500
470	444	499
471	444	497
472	445	496
473	445	494
474	446	493
475	446	491
476	447	490
477	447	488
478	448	487
479	448	485
480	448	484
481	449	482
482	449	481
483	450	479
484	451	479
485	451	477
486	452	476
487	452	475
488	453	473
489	453	472
490	453	470
491	454	469
492	454	467
493	455	466
494	455	464
495	456	463
496	456	462
497	457	460
498	457	459
499	458	458
500	458	457
501	459	455
502	460	454
503	460	453
504	460	451
505	461	450
506	461	449
507	462	447
508	462	446
509	463	444
510	463	443
511	464	442
512	464	441
513	465	439
514	465	438
515	466	437
516	466	436
517	467	434
518	467	433
519	468	432
520	468	430
521	469	429
522	469	428
523	470	427
524	470	425
525	471	424
526	471	423
527	472	421
528	472	420
529	472	419
530	473	418
531	474	417
532	474	415
533	475	414
534	475	413
535	475	412
536	476	410
537	476	409
538	477	408
539	477	406
540	478	405
541	478	404
542	479	403
543	479	401
544	479	400
545	480	399
546	480	398
547	481	397
548	481	395
549	482	394
550	482	393
551	483	392
552	483	390
553	483	389
554	484	388
555	484	387
556	485	386
557	485	384
558	486	383
559	486	382
560	486	381
561	487	379
562	487	378
563	488	377
564	488	376
565	489	375
566	489	373
567	490	372
568	490	371
569	490	370
570	491	369
571	491	368
572	492	366
573	492	365
574	493	364
575	493	363
576	494	362
577	494	361
578	494	359
579	495	358
580	495	357
581	496	356
582	496	355
583	497	354
584	497	353
585	498	351
586	498	350
587	498	349
588	499	348
589	499	347
590	500	346
591	500	345
592	501	343
593	501	342
594	502	341
595	502	340
596	502	339
597	503	338
598	503	337
599	504	336
600	504	335
601	505	334
602	505	332
603	506	331
604	506	330
605	507	329
606	507	328
607	507	327
608	508	326
609	508	325
610	509	324
611	509	323
612	509	321
613	510	320
614	510	319
615	511	318
616	511	317
617	512	316
618	512	315
619	513	314
620	513	313
621	514	312
622	514	311
623	514	310
624	515	309
625	515	308
626	516	307
627	516	306
628	517	305
629	517	304
630	518	302
631	518	301
632	519	300
633	519	299
634	520	298
635	520	297
636	520	296
637	521	295
638	521	294
639	522	293
640	522	292
641	523	291
642	523	290
643	523	289
644	524	288
645	524	287
646	525	286
647	525	285
648	526	284
649	526	283
650	526	282
651	527	281
652	528	280
653	528	279
654	529	278
655	529	277
656	529	276
657	530	275
658	530	274
659	531	273
660	531	272
661	532	271
662	532	270
663	532	269
664	533	268
665	533	267
666	534	266
667	534	265
668	534	264
669	535	263
670	536	262
671	536	261
672	537	260
673	537	259
674	537	258
675	538	258
676	538	257
677	539	256
678	539	255
679	540	254
680	540	253
681	540	252
682	541	251
683	541	250
684	542	249
685	542	248
686	543	247
687	543	246
688	544	245
689	544	244
690	545	243
691	545	242
692	546	241
693	546	241
694	547	240
695	547	239
696	547	238
697	548	237
698	548	236
699	549	235
700	550	234
701	550	233
702	551	232
703	551	231
704	551	230
705	552	230
706	552	229
707	553	228
708	553	227
709	554	226
710	554	225
711	555	224
712	555	223
713	555	222
714	556	221
715	556	220
716	557	219
717	557	219
718	558	218
719	558	217
720	559	216
721	559	215
722	560	214
723	560	213
724	561	212
725	561	211
726	562	211
727	562	210
728	562	209
729	563	208
730	563	207
731	564	206
732	564	205
733	565	204
734	566	204
735	566	203
736	567	202
737	567	201
738	568	200
739	568	199
740	569	198
741	569	198
742	569	197
743	570	196
744	570	195
745	571	194
746	571	193
747	572	192
748	572	191
749	572	190
750	573	190
751	573	189
752	574	188
753	574	187
754	575	186
755	575	185
756	576	184
757	576	184
758	577	183
759	577	182
760	578	181
761	578	180
762	579	179
763	579	179
764	580	178
765	580	177
766	581	176
767	581	175
768	582	174
769	582	174
770	583	173
771	583	172
772	583	171
773	584	170
774	584	169
775	584	168
776	585	168
777	585	167
778	586	166
779	586	165
780	587	164
781	587	163
782	587	162
783	588	162
784	589	161
785	589	160
786	590	159
787	590	158
788	590	158
789	591	157
790	591	156
791	592	155
792	592	154
793	592	153
794	593	153
795	593	152
796	594	151
797	594	150
798	595	149
799	595	148
800	595	148
801	596	147
802	596	146
803	597	145
804	597	144
805	598	144
806	598	143
807	599	142
808	599	141
809	600	140
810	600	139
811	600	139
812	601	138
813	601	137
814	602	136
815	602	135
816	602	135
817	603	134
818	603	133
819	604	132
820	604	131
821	605	131
822	605	130
823	606	129
824	606	128
825	607	127
826	607	127
827	608	126
828	608	125
829	608	124
830	609	123
831	609	123
832	610	122
833	610	121
834	611	120
835	611	120
836	612	119
837	612	118
838	613	117
839	613	116
840	614	116
841	614	115
842	615	114
843	615	113
844	615	112
845	616	112
846	616	111
847	617	110
848	617	109
849	617	109
850	618	108
851	618	107
852	619	106
853	619	105
854	620	105
855	620	104
856	621	103
857	621	102
858	622	102
859	622	101
860	622	100
861	623	99
862	623	99
863	624	98
864	624	97
865	624	96
866	625	95
867	625	95
868	626	94
869	626	93
870	627	92
871	627	92
872	628	91
873	628	90
874	629	89
875	629	89
876	630	88
877	630	87
878	630	86
879	631	86
880	631	85
881	632	84
882	632	83
883	633	83
884	633	82
885	634	81
886	634	80
887	635	80
888	635	79
889	636	78
890	636	77
891	637	77
892	637	76
893	638	75
894	638	74
895	638	74
896	639	73
897	639	72
898	640	71
899	640	71
900	640	70
901	641	69
902	641	68
903	642	68
904	643	67
905	643	66
906	644	66
907	644	65
908	644	64
909	645	63
910	645	63
911	646	62
912	646	61
913	646	60
914	647	60
915	647	59
916	648	58
917	648	57
918	649	57
919	649	56
920	650	55
921	650	55
922	651	54
923	651	53
924	652	52
925	652	52
926	653	51
927	653	50
928	654	49
929	654	49
930	654	48
931	655	47
932	655	47
933	656	46
934	656	45
935	656	44
936	657	44
937	658	43
938	658	42
939	659	42
940	659	41
941	660	40
942	660	39
943	661	39
944	661	38
945	662	37
946	663	37
947	663	36
